bibliography_key,reference_url,reference_url_kind
Manzanilla 2017,https://doi.org/10.1007/s12520-016-0418-9,doi
Marchesi 2004,,scholar_search
Martin 2001,,scholar_search
Martin 2020,,scholar_search
Matthews 2005,,scholar_search
Mellaart 1967,,scholar_search
Merrick 1991,https://doi.org/10.1353/sec.2010.0106,doi
Meskell 2008,https://doi.org/10.1017/s095977430800022x,doi
Mieroop 1989,,scholar_search
Mieroop 1999,,scholar_search
Mieroop 2013,https://doi.org/10.4324/9780203096604.ch13,doi
Millon 1964,https://doi.org/10.2307/277873,doi
Millon 1976,,scholar_search
Milner 1998,,scholar_search
Milner 2013,https://doi.org/10.1002/evan.21351,doi
Mitchell 1985,,scholar_search
Mittnik 2016,https://doi.org/10.1371/journal.pone.0163019,doi
Moorey 1964,https://doi.org/10.2307/4199767,doi
Moorey 1977,,scholar_search
Morris 2007,,scholar_search
Murra 1956,,scholar_search
Murra 1982,,scholar_search
Müller 2016,,scholar_search
Nash 1978,https://doi.org/10.1086/493612,doi
Neitzel 1965,,scholar_search
Nichols 2016,https://doi.org/10.1007/s10814-015-9085-0,doi
Nissen 2002,,scholar_search
Notroff 2016,https://doi.org/10.1017/cbo9781316014509.006,doi
Nuttall 1921,https://doi.org/10.3406/jsa.1921.2905,doi
Oates 2007,https://doi.org/10.1017/s0003598x00095600,doi
Ohlrau 2016,,scholar_search
Parker 1919,,scholar_search
Pasztory 1988,,scholar_search
Pasztory 1992,,scholar_search
Pasztory 1997,,scholar_search
Pauketat 1994,,scholar_search
Pauketat 2007,https://doi.org/10.5040/9798216418474,doi
Pauketat 2009,,scholar_search
Pauketat 2013,,scholar_search
Pauketat 2015,https://doi.org/10.1017/cho9781139035606.027,doi
Paulinyi 1981,,scholar_search
Pearson 2012,,scholar_search
Pearson 2013,https://doi.org/10.1016/j.jaa.2013.01.002,doi
Pennock 2008,,scholar_search
Pennock 2017,https://doi.org/10.1093/oxfordhb/9780199341962.013.40,doi
Peters 2017,https://doi.org/10.1093/oxfordhb/9780199686476.013.18,doi
Pettitt 2011,https://doi.org/10.4324/9780203813300,doi
Possehl 1996,,scholar_search
Possehl 2002,,scholar_search
Postgate 1992,,scholar_search
Prendergast 2018,https://doi.org/10.1016/j.jasrep.2018.08.006,doi
Pryor 2020,https://doi.org/10.15184/aqy.2020.7,doi
Quilter 2002,https://doi.org/10.1023/a:1019933420233,doi
Ratnagar 2004,,scholar_search
Ratnagar 2016,,scholar_search
Redding 1998,,scholar_search
Rehak 2002,,scholar_search
Richardson 2012,https://doi.org/10.1093/pastj/gts009,doi
Ringle 2004,https://doi.org/10.1017/s0956536104040131,doi
Rissman 1988,https://doi.org/10.1080/00438243.1988.9980068,doi
Ritchie 2016,https://doi.org/10.1016/j.jaa.2016.06.002,doi
Rodrigues 2005,https://doi.org/10.1007/0-387-27327-1_10,doi
Roebroeks 2000,,scholar_search
Rosenwig 2010,,scholar_search
Rosenwig 2017,,scholar_search
Roth 1991,,scholar_search
Sahlins 2004,,scholar_search
Sahlins 2017,,scholar_search
Salomon 2004,,scholar_search
Santana 2012,https://doi.org/10.1002/ajpa.22111,doi
Sassaman 2005,https://doi.org/10.1007/s10816-005-8460-4,doi
Schirmer 1990,https://doi.org/10.1080/00438243.1990.9980114,doi
Schmandt-Besserat 1992,,scholar_search
Schmidt 1998,,scholar_search
Schmidt 2006,,scholar_search
Schrakamp 2010,,scholar_search
Scott 2017,,scholar_search
Sharer 2003,,scholar_search
Shaughnessy 1989,,scholar_search
Sheppard 2011,https://doi.org/10.1086/662201,doi
Sherratt 1997,https://doi.org/10.1515/9781474472562,doi
Sherratt 2000,,scholar_search
Sherratt 2007,,scholar_search
Sikora 2017,https://doi.org/10.1126/science.aao1807,doi
Skoglund 2016,https://doi.org/10.1038/nature19844,doi
Skousen 2016,,scholar_search
Slon 2014,https://doi.org/10.1371/journal.pone.0089242,doi
Smith 1984,https://doi.org/10.2307/482619,doi
Smith 1992,https://doi.org/10.1525/ap3a.1992.3.1.11,doi
Smith 2012,,scholar_search
Smith 2015,https://doi.org/10.1080/17549175.2014.896394,doi
Smith 2017,https://doi.org/10.1515/opar-2017-0010,doi
Snow 1991,,scholar_search
Soffer 1985,,scholar_search
Soustelle 1962,,scholar_search
Spriggs 1995,,scholar_search
Spriggs 1997,,scholar_search
Starna 2008,,scholar_search
Steinkeller 2015,,scholar_search
Stordeur 2000,,scholar_search
Straus 1977,,scholar_search
Stuart 2000,,scholar_search
Subramanian 2010,,scholar_search
Sugiyama 2013,https://doi.org/10.7183/1045-6635.24.4.403,doi
Sugiyama 2019,,scholar_search
Swanton 1931,,scholar_search
Tambiah 1973,,scholar_search
Tate 2012,,scholar_search
Taube 1986,https://doi.org/10.1086/resv12n1ms20166753,doi
Taube 2000,,scholar_search
Teschler-Nicola 1996,,scholar_search
Thomas 2005,https://doi.org/10.1007/0-387-27327-1_8,doi
Thompson 2015,https://doi.org/10.1002/ajpa.22791,doi
Torres 2008,,scholar_search
Trigger 2006,,scholar_search
Trinkaus 2018,https://doi.org/10.1073/pnas.1814989115,doi
Tuck 1978,,scholar_search
Tuerenhout 2002,https://doi.org/10.4000/civilisations.3400,doi
Underhill 2008,https://doi.org/10.1016/j.jaa.2006.11.002,doi
Ur 2014,https://doi.org/10.1017/s095977431400047x,doi
Valentine 2015,https://doi.org/10.1371/journal.pone.0123103,doi
Vidale 2010,https://doi.org/10.1080/02666031003737232,doi
Vidale 2013,,scholar_search
Videiko 1996,,scholar_search
Viner 2010,https://doi.org/10.1016/j.jas.2010.06.017,doi
Voutsaki 1997,https://doi.org/10.1179/096576697800660285,doi
Wallace 1958,https://doi.org/10.1525/aa.1958.60.2.02a00030,doi
Wengrow 1998,https://doi.org/10.1017/s0003598x00087378,doi
Wengrow 2006,,scholar_search
Wengrow 2008,https://doi.org/10.1086/523676,doi
Wengrow 2010a,,scholar_search
Wengrow 2010b,,scholar_search
Wengrow 2011,,scholar_search
White 1985,https://doi.org/10.30861/9780860543244,doi
White 1999,,scholar_search
White 2008,,scholar_search
Wild 2004,https://doi.org/10.1017/s0033822200039680,doi
Wilkinson 2014,https://doi.org/10.3406/paleo.2014.5643,doi
Williams 1990,,scholar_search
Wills 1970,https://doi.org/10.1080/00335637009383027,doi
Wood 1992,,scholar_search
Woods 2004,https://doi.org/10.1023/b:ahum.0000029398.01906.5e,doi
Wright 2007,,scholar_search
Wright 2008,https://doi.org/10.1179/175638008x348016,doi
Wright 2010,,scholar_search
Wright 2014,https://doi.org/10.1016/j.jas.2014.09.009,doi
Yen 1995,https://doi.org/10.1017/s0003598x00082375,doi
Yoffee 1995,https://doi.org/10.1146/annurev.anthro.24.1.281,doi
Younger 2016,,scholar_search
Zagarell 1986,,scholar_search
Zheltova 2015,https://doi.org/10.1016/j.quaint.2014.10.047,doi
Zhilin 2018,https://doi.org/10.15184/aqy.2018.48,doi
Özbek 1988,,scholar_search
